artist,album,release_date,track_name,track_number,duration_ms
Destiny's Child,Survivor,2001-05-01,Gospel Medley,17,204840
Destiny's Child,Survivor,2001-05-01,Outro (DC-3) Thank You,18,242933
Destiny's Child,The Writing's On The Wall,1999-07-27,Intro (The Writing's On The Wall),1,125466
Destiny's Child,The Writing's On The Wall,1999-07-27,So Good,2,193933
Destiny's Child,The Writing's On The Wall,1999-07-27,"Bills, Bills, Bills",3,256026
Destiny's Child,The Writing's On The Wall,1999-07-27,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",4,297333
Destiny's Child,The Writing's On The Wall,1999-07-27,Bug a Boo,5,212440
Destiny's Child,The Writing's On The Wall,1999-07-27,Temptation,6,245600
Destiny's Child,The Writing's On The Wall,1999-07-27,Now That She's Gone,7,335466
Destiny's Child,The Writing's On The Wall,1999-07-27,Where'd You Go,8,255266
Destiny's Child,The Writing's On The Wall,1999-07-27,Hey Ladies,9,255933
Destiny's Child,The Writing's On The Wall,1999-07-27,If You Leave (feat. Next),10,275160
Destiny's Child,The Writing's On The Wall,1999-07-27,"Jumpin', Jumpin'",11,230200
Destiny's Child,The Writing's On The Wall,1999-07-27,Say My Name,12,271333
Destiny's Child,The Writing's On The Wall,1999-07-27,She Can't Love You,13,244866
Destiny's Child,The Writing's On The Wall,1999-07-27,Stay,14,291240
Destiny's Child,The Writing's On The Wall,1999-07-27,Sweet Sixteen,15,252733
Destiny's Child,The Writing's On The Wall,1999-07-27,Outro (Amazing Grace...dedicated to Andretta Tillman),16,158426
Destiny's Child,Destiny's Child,1998-02-17,Second Nature,1,308400
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No Pt. 2 (feat. Wyclef Jean)",2,207466
Destiny's Child,Destiny's Child,1998-02-17,With Me Part I,3,206733
Destiny's Child,Destiny's Child,1998-02-17,Tell Me,4,288066
Destiny's Child,Destiny's Child,1998-02-17,Bridges,5,241840
Destiny's Child,Destiny's Child,1998-02-17,"No, No, No, Pt. 1",6,247040
Destiny's Child,Destiny's Child,1998-02-17,With Me Part II (featuring Master P),7,254333
Destiny's Child,Destiny's Child,1998-02-17,Show Me The Way,8,257666
Destiny's Child,Destiny's Child,1998-02-17,Killing Time,9,307160
Destiny's Child,Destiny's Child,1998-02-17,Illusion,10,231373
Destiny's Child,Destiny's Child,1998-02-17,Birthday,11,314800
Destiny's Child,Destiny's Child,1998-02-17,Sail On,12,243706
Destiny's Child,Destiny's Child,1998-02-17,My Time Has Come (Dedicated To Andretta Tillman),13,263106
Usher,Confessions (20th Anniversary Edition),2024-11-01,Intro,1,46883
Usher,Confessions (20th Anniversary Edition),2024-11-01,Yeah! (feat. Lil Jon & Ludacris),2,250182
Usher,Confessions (20th Anniversary Edition),2024-11-01,Throwback (feat. Jadakiss),3,287111
