artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
Usher,Confessions (20th Anniversary Edition),2024-11-01,Burn - Orchestral Mix,23,230926,3.85,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Coming Home,1,195875,3.26,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Good Good,2,247100,4.12,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,A-Town Girl,3,212575,3.54,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Cold Blooded,4,196290,3.27,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Kissing Strangers,5,188206,3.14,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Keep On Dancin',6,191541,3.19,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Risk It All - From the Original Motion Picture “The Color Purple”,7,201347,3.36,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Bop,8,222985,3.72,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Stone Kold Freak,9,214662,3.58,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Ruin,10,181646,3.03,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,BIG,11,207845,3.46,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,On The Side,12,183875,3.06,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,I Am The Party,13,219463,3.66,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,I Love U,14,197740,3.3,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Please U,15,178333,2.97,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Luckiest Man,16,201672,3.36,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Margiela,17,224526,3.74,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Room In A Room,18,137917,2.3,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,One Of Them Ones,19,193532,3.23,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Standing Next to You - USHER Remix,20,214760,3.58,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Believe,21,211644,3.53,2024.0
Usher,COMING HOME (Expanded Edition),2024-02-09,Naked,22,282422,4.71,2024.0
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna...,1,219400,3.66,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,Just Like Me,2,207129,3.45,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,Nice & Slow - Radio Version,3,228096,3.8,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,Slow Jam (feat. Monica),4,283131,4.72,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,My Way,5,214416,3.57,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,Come Back,6,227372,3.79,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,I Will,7,234680,3.91,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,Bedtime,8,285307,4.76,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,One Day You'll Be Mine,9,203972,3.4,2022.0
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna... - Extended Version,10,320000,5.33,2022.0
